Document Name,URL,Date
[민원답변] 단기근로 미증빙에 대한 이의제기,https://opengov.seoul.go.kr/sanction/31655596?from=policy&tid=32175351,2024-08-26
[민원답변] 청년수당 단기근로 미증빙,https://opengov.seoul.go.kr/sanction/31552677?from=policy&tid=32175351,2024-08-08
[민원답변] 청년수당 활동기록서,https://opengov.seoul.go.kr/sanction/31549346?from=policy&tid=32175351,2024-08-07
[민원답변] 청년수당 자기활동기록서 관련,https://opengov.seoul.go.kr/sanction/31551444?from=policy&tid=32175351,2024-08-07
[국민신문고 민원답변] 단기근로 증빙 이의제기,https://opengov.seoul.go.kr/sanction/31548336?from=policy&tid=32175351,2024-08-07
[민원답변] 청년수당 활동기록서 저장 기록,https://opengov.seoul.go.kr/sanction/31495195?from=policy&tid=32175351,2024-07-31
[민원답변] 청년수당 관련,https://opengov.seoul.go.kr/sanction/31452407?from=policy&tid=32175351,2024-07-24
[민원답변] 청년수당 미선정 관련,https://opengov.seoul.go.kr/sanction/31445055?from=policy&tid=32175351,2024-07-23
[민원답변] 청년수당 미선정 관련,https://opengov.seoul.go.kr/sanction/31441491?from=policy&tid=32175351,2024-07-23
[민원답변] 청년수당 자가활동기록서 미제출 관련,https://opengov.seoul.go.kr/sanction/31417615?from=policy&tid=32175351,2024-07-18
[민원답변] 청년수당 해외결제 불가능 관련,https://opengov.seoul.go.kr/sanction/31410935?from=policy&tid=32175351,2024-07-18
